FECHACORTE,FECHAREGISTRO,CODIGO,NOMBRE,CATEGORIA,NIVEL,INSTITUCIÓN,GRUPO,SUB_GRUPO,MACROREGIONES,UBIGEO,REGION,PROVINCIA,DISTRITO,RESPONSABLE,CUENTA_TRIAJE,NU_ATENC_ULT,CUENTA_ZC,ZC_UCI_AACT_CAM_TOTAL,ZC_UCI_AACT_CAM_INOPERATIVOS,ZC_UCI_AACT_CAM_TOT_OPER,ZC_UCI_AACT_CAM_TOT_DISP,ZC_UCI_AACT_CAM_TOT_OCUP,ZC_UCI_AACT_COC_CAM_CONFIR,ZC_UCI_AACT_COC_CAM_X_CONFIR,ZC_UCI_AACT_COO_CAM_CANULAS,ZC_UCI_AACT_COO_CAM_SIN_VM,ZC_UCI_AACT_COO_CAM_CON_VM,ZC_UCI_ADUL_CAM_TOTAL,ZC_UCI_ADUL_CAM_INOPERATIVOS,ZC_UCI_ADUL_CAM_TOT_OPER,ZC_UCI_ADUL_CAM_TOT_DISP,ZC_UCI_ADUL_CAM_TOT_OCUP,ZC_UCI_ADUL_COC_CAM_CONFIR,ZC_UCI_ADUL_COC_CAM_X_CONFIR,ZC_UCI_ADUL_COO_CAM_CANULAS,ZC_UCI_ADUL_COO_CAM_SIN_VM,ZC_UCI_ADUL_COO_CAM_CON_VM,ZC_UCI_NEONATAL_CAM_TOTAL,ZC_UCI_NEONATAL_CAM_INOPERATIVOS,ZC_UCI_NEONATAL_CAM_TOT_OPER,ZC_UCI_NEONATAL_CAM_TOT_DISP,ZC_UCI_NEONATAL_CAM_TOT_OCUP,ZC_UCI_NEONATAL_COC_CAM_CONFIR,ZC_UCI_NEONATAL_COC_CAM_X_CONFIR,ZC_UCI_NEONATAL_COO_CAM_CANULAS,ZC_UCI_NEONATAL_COO_CAM_SIN_VM,ZC_UCI_NEONATAL_COO_CAM_CON_VM,ZC_UCI_PEDIA_CAM_TOTAL,ZC_UCI_PEDIA_CAM_INOPERATIVOS,ZC_UCI_PEDIA_CAM_TOT_OPER,ZC_UCI_PEDIA_CAM_TOT_DISP,ZC_UCI_PEDIA_CAM_TOT_OCUP,ZC_UCI_PEDIA_COC_CAM_CONFIR,ZC_UCI_PEDIA_COC_CAM_X_CONFIR,ZC_UCI_PEDIA_COO_CAM_CANULAS,ZC_UCI_PEDIA_COO_CAM_SIN_VM,ZC_UCI_PEDIA_COO_CAM_CON_VM,ZC_UCIN_CIA_CAM_TOTAL,ZC_UCIN_CIA_CAM_INOPERATIVOS,ZC_UCIN_CIA_CAM_TOT_OPER,ZC_UCIN_CIA_CAM_TOT_DISP,ZC_UCIN_CIA_CAM_TOT_OCUP,ZC_UCIN_CIA_COC_CAM_CONFIR,ZC_UCIN_CIA_COC_CAM_X_CONFIR,ZC_UCIN_CIA_COO_CAM_CANULAS,ZC_UCIN_CIA_COO_CAM_SIN_VM,ZC_UCIN_CIP_CAM_TOTAL,ZC_UCIN_CIP_CAM_INOPERATIVOS,ZC_UCIN_CIP_CAM_TOT_OPER,ZC_UCIN_CIP_CAM_TOT_DISP,ZC_UCIN_CIP_CAM_TOT_OCUP,ZC_UCIN_CIP_COC_CAM_CONFIR,ZC_UCIN_CIP_COC_CAM_X_CONFIR,ZC_UCIN_CIP_COO_CAM_CANULAS,ZC_UCIN_CIP_COO_CAM_SIN_VM,ZC_HOSP_AHT_CAM_TOTAL,ZC_HOSP_AHT_CAM_INOPERATIVOS,ZC_HOSP_AHT_CAM_TOT_OPER,ZC_HOSP_AHT_CAM_TOT_DISP,ZC_HOSP_AHT_CAM_TOT_OCUP,ZC_HOSP_AHT_COC_CAM_CONFIR,ZC_HOSP_AHT_COC_CAM_X_CONFIR,ZC_HOSP_AHT_COO_CAM_CANULAS,ZC_HOSP_AHT_COO_CAM_SIN_VM,ZC_HOSP_ADUL_CAM_TOTAL,ZC_HOSP_ADUL_CAM_INOPERATIVOS,ZC_HOSP_ADUL_CAM_TOT_OPER,ZC_HOSP_ADUL_CAM_TOT_DISP,ZC_HOSP_ADUL_CAM_TOT_OCUP,ZC_HOSP_ADUL_COC_CAM_CONFIR,ZC_HOSP_ADUL_COC_CAM_X_CONFIR,ZC_HOSP_ADUL_COO_CAM_CANULAS,ZC_HOSP_ADUL_COO_CAM_SIN_VM,ZC_HOSP_PEDIA_CAM_TOTAL,ZC_HOSP_PEDIA_CAM_INOPERATIVOS,ZC_HOSP_PEDIA_CAM_TOT_OPER,ZC_HOSP_PEDIA_CAM_TOT_DISP,ZC_HOSP_PEDIA_CAM_TOT_OCUP,ZC_HOSP_PEDIA_COC_CAM_CONFIR,ZC_HOSP_PEDIA_COC_CAM_X_CONFIR,ZC_HOSP_PEDIA_COO_CAM_CANULAS,ZC_HOSP_PEDIA_COO_CAM_SIN_VM,ZC_EMER_ADUL_CAM_TOTAL,ZC_EMER_ADUL_CAM_INOPERATIVOS,ZC_EMER_ADUL_CAM_TOT_OPER,ZC_EMER_ADUL_CAM_TOT_DISP,ZC_EMER_ADUL_CAM_TOT_OCUP,ZC_EMER_ADUL_COC_CAM_CONFIR,ZC_EMER_ADUL_COC_CAM_X_CONFIR,ZC_EMER_ADUL_COO_CAM_CANULAS,ZC_EMER_ADUL_COO_CAM_SIN_VM,ZC_EMER_ADUL_COO_CAM_CON_VM,ZC_EMER_PEDIA_CAM_TOTAL,ZC_EMER_PEDIA_CAM_INOPERATIVOS,ZC_EMER_PEDIA_CAM_TOT_OPER,ZC_EMER_PEDIA_CAM_TOT_DISP,ZC_EMER_PEDIA_CAM_TOT_OCUP,ZC_EMER_PEDIA_COC_CAM_CONFIR,ZC_EMER_PEDIA_COC_CAM_X_CONFIR,ZC_EMER_PEDIA_COO_CAM_CANULAS,ZC_EMER_PEDIA_COO_CAM_SIN_VM,ZC_EMER_PEDIA_COO_CAM_CON_VM,ZC_AREA_EXP_CAM_TOTAL,ZC_AREA_EXP_COC_CAM_CONFIR,ZC_AREA_EXP_COC_CAM_X_CONFIR,ZC_VENT_CAM_TOTAL,ZC_VENT_CAM_TOT_INOP,ZC_VENT_CAM_TOT_OPER,ZC_VENT_CAM_DISPONIBLES,ZC_VENT_CAM_EN_USO,ZC_MONT_CAM_TOTAL,ZC_MONT_CAM_TOT_INOP,ZC_MONTCAM_TOT_OPER,ZC_MONT_CAM_DISPONIBLES,ZC_MONT_CAM_EN_USO,ZNC_UCI_ADUL_CAM_TOTAL,ZNC_UCI_ADUL_CAM_INOPERATIVO,ZNC_UCI_ADUL_CAM_OPERATIVO,ZNC_UCI_ADUL_CAM_DISPONIBLE,ZNC_UCI_ADUL_CAM_OCUPADO,ZNC_UCI_ADUL_CAM_CON_VM,ZNC_UCI_ADUL_CAM_SIN_VM,ZNC_UCI_NEONATAL_CAM_TOTAL,ZNC_UCI_NEONATAL_CAM_INOPERATIVO,ZNC_UCI_NEONATAL_CAM_OPERATIVO,ZNC_UCI_NEONATAL_CAM_DISPONIBLE,ZNC_UCI_NEONATAL_CAM_OCUPADO,ZNC_UCI_NEONATAL_CAM_CON_VM,ZNC_UCI_NEONATAL_CAM_SIN_VM,ZNC_UCI_PEDIA_CAM_TOTAL,ZNC_UCI_PEDIA_CAM_INOPERATIVO,ZNC_UCI_PEDIA_CAM_OPERATIVO,ZNC_UCI_PEDIA_CAM_DISPONIBLE,ZNC_UCI_PEDIA_CAM_OCUPADO,ZNC_UCI_PEDIA_CAM_CON_VM,ZNC_UCI_PEDIA_CAM_SIN_VM,ZNC_UCIN_ADUL_CAM_TOTAL,ZNC_UCIN_ADUL_CAM_INOPERATIVO,ZNC_UCIN_ADUL_CAM_OPERATIVO,ZNC_UCIN_ADUL_CAM_DISPONIBLE,ZNC_UCIN_ADUL_CAM_OCUPADO,ZNC_UCIN_PEDIA_CAM_TOTAL,ZNC_UCIN_PEDIA_CAM_INOPERATIVO,ZNC_UCIN_PEDIA_CAM_OPERATIVO,ZNC_UCIN_PEDIA_CAM_DISPONIBLE,ZNC_UCIN_PEDIA_CAM_OCUPADO,ZNC_HOSP_ADUL_CAM_TOTAL,ZNC_HOSP_ADUL_CAM_INOPERATIVO,ZNC_HOSP_ADUL_CAM_OPERATIVO,ZNC_HOSP_ADUL_CAM_DISPONIBLE,ZNC_HOSP_ADUL_CAM_OCUPADO,ZNC_HOSP_NEONATAL_CAM_TOTAL,ZNC_HOSP_NEONATAL_CAM_INOPERATIVO,ZNC_HOSP_NEONATAL_CAM_OPERATIVO,ZNC_HOSP_NEONATAL_CAM_DISPONIBLE,ZNC_HOSP_NEONATAL_CAM_OCUPADO,ZNC_HOSP_PEDIA_CAM_TOTAL,ZNC_HOSP_PEDIA_CAM_INOPERATIVO,ZNC_HOSP_PEDIA_CAM_OPERATIVO,ZNC_HOSP_PEDIA_CAM_DISPONIBLE,ZNC_HOSP_PEDIA_CAM_OCUPADO,ZNC_EMER_UTS_CAM_TOTAL,ZNC_EMER_UTS_CAM_INOPERATIVO,ZNC_EMER_UTS_CAM_OPERATIVO,ZNC_EMER_UTS_CAM_DISPONIBLE,ZNC_EMER_UTS_CAM_OCUPADO,ZNC_EMER_UTS_CAM_CON_VM,ZNC_EMER_UTS_CAM_SIN_VM,ZNC_EMER_SOSB_CAM_TOTAL,ZNC_EMER_SOSB_CAM_INOPERATIVO,ZNC_EMER_SOSB_CAM_OPERATIVO,ZNC_EMER_SOSB_CAM_DISPONIBLE,ZNC_EMER_SOSB_CAM_OCUPADO,ZNC_EMER_SOSB_CAM_CON_VM,ZNC_EMER_SOSB_CAM_SIN_VM,ZNC_VENT_CAM_TOTAL,ZNC_VENT_CAM_INOPERATIVO,ZNC_VENT_CAM_OPERATIVO,ZNC_VENT_CAM_DISPONIBLE,ZNC_VENT_CAM_EN_USO,ZNC_MONT_CAM_TOTAL,ZNC_MONT_CAM_INOPERATIVO,ZNC_MONT_CAM_OPERATIVO,ZNC_MONT_CAM_DISPONIBLE,ZNC_MONT_CAM_EN_USO
20210331,2021/03/31  4:53:43 PM,11113.0,CLINICA MONTERRICO,II-E,Nivel 2,PRIVADO,PRIVADOS,PRIVADOS,,150140.0,LIMA,LIMA,SANTIAGO DE SURCO,JOSE JAVIER PEREZ RAMIREZ,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20210331,2021/03/31  6:33:02 PM,9066.0,HOSPITAL HIGOS URCO,II-1,Nivel 2,ESSALUD,PÚBLICOS,ESSALUD,Zona Norte,10101.0,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CESAR EDUARDO CARREÑO DIAZ,NO,,SI,4.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,14.0,36.0,36.0,0.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,7.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20210331,2021/03/31  6:24:36 PM,10267.0,HOSPITAL I ESSALUD-SULLANA,I-4,Nivel 1,ESSALUD,PÚBLICOS,ESSALUD,Zona Norte,200601.0,PIURA,SULLANA,SULLANA,CESAR EDUARDO CARREÑO DIAZ,NO,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
20210331,2021/03/31  7:56:52 AM,16551.0,CLINICA BELEN S.A.C. (CLINICA JUAN PABLO II),II-1,Nivel 2,PRIVADO,PRIVADOS,PRIVADOS,Zona Centro,21801.0,ANCASH,SANTA,CHIMBOTE,JACKELINE STEPHANY ALVA RAMIREZ,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0
20210331,2021/03/31  9:42:12 PM,10987.0,INSTITUTO MEDICO ESPECIALIZADO UROGINEC EIRL (UROGINEC E.I.R.L.),II-1,Nivel 2,PRIVADO,PRIVADOS,PRIVADOS,Zona Centro,21801.0,ANCASH,SANTA,CHIMBOTE,JUANA MERCEDES ARROYO BAZAN,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20210331,2021/03/31  5:34:18 PM,5986.0,HOSPITAL REZOLA,II-2,Nivel 2,GOBIERNO REGIONAL,PÚBLICOS,MINSA/GR,Zona Centro,150501.0,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,WENDY ELIZABETH MOSCOSO VELASQUEZ,SI,18.0,SI,5.0,0.0,5.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,11.0,1.0,10.0,0.0,10.0,10.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.0,92.0,37.0,55.0,50.0,5.0,0.0,55.0,6.0,0.0,6.0,2.0,4.0,2.0,2.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,2.0,7.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,50.0,5.0,9.0,2.0,7.0,2.0,5.0,10.0,2.0,8.0,2.0,6.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,71.0,33.0,38.0,9.0,1.0,8.0,3.0,5.0,10.0,1.0,9.0,7.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,8.0,5.0,3.0,0.0,3.0,5.0,1.0,4.0,3.0,1.0,5.0,1.0,4.0,0.0,4.0
20210331,2021/03/31  6:03:07 PM,7686.0,HOSPITAL REGIONAL DOCENTE CAJAMARCA,II-2,Nivel 2,GOBIERNO REGIONAL,PÚBLICOS,MINSA/GR,Zona Norte,60101.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,SUSANA DEL ROSARIO RODRIGUEZ PERALTA,SI,55.0,SI,6.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,22.0,0.0,22.0,0.0,22.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,37.0,0.0,37.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,33.0,0.0,33.0,0.0,33.0,33.0,0.0,33.0,0.0,33.0,6.0,0.0,6.0,0.0,6.0,6.0,0.0,9.0,0.0,9.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,103.0,23.0,80.0,35.0,0.0,35.0,2.0,33.0,11.0,0.0,11.0,7.0,4.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,15.0,0.0,15.0,3.0,12.0,0.0,12.0,24.0,6.0,18.0,3.0,15.0,44.0,2.0,42.0,5.0,37.0
20210331,2021/03/31  5:42:20 PM,15927.0,CLINICA DE OJOS D´OPELUCE,II-E,Nivel 2,PRIVADO,PRIVADOS,PRIVADOS,,150116.0,LIMA,LIMA,LINCE,MARIA DEL PILAR CHIRINOS LARTIGA,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
20210331,2021/03/31  9:07:21 AM,1232.0,HOSPITAL GOYENECHE,III-1,Nivel 3,GOBIERNO REGIONAL,PÚBLICOS,MINSA/GR,Zona Sur,40101.0,AREQUIPA,AREQUIPA,AREQUIPA,JUAN LUIS HERRERA CHEJO,SI,241.0,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0,73.0,17.0,16.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,16.0,13.0,5.0,0.0,5.0,1.0,4.0,24.0,0.0,24.0,2.0,22.0,6.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,1.0,205.0,21.0,184.0,14.0,0.0,14.0,4.0,10.0,32.0,0.0,32.0,14.0,18.0,5.0,0.0,5.0,1.0,4.0,3.0,1.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,15.0,0.0,15.0,2.0,13.0,15.0,0.0,15.0,2.0,13.0
20210331,2021/03/31  5:27:51 PM,12301.0,CLINICA SAN ANTONIO,II-1,Nivel 2,PRIVADO,PRIVADOS,PRIVADOS,Zona Norte,130101.0,LA LIBERTAD,TRUJILLO,TRUJILLO,ELIZABETH SANCHEZ RONCAL,NO,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
